priority,enabled,keyword,normalized_product,product_group,notes
10,1,ドライヤー・ヘアアイロン,ドライヤー,生活家電,
10,1,ヘアアイロン,ドライヤー,生活家電,
10,1,ガス給湯器,ガス給湯器,給湯器,
10,1,石油給湯器,石油給湯器,給湯器,
10,1,ハイブリッド給湯器,ハイブリッド給湯器,給湯器,
10,1,エコキュート,エコキュート,給湯器,
10,1,エネファーム,エネファーム,給湯器,
10,1,電気温水器,電気温水器,給湯器,
10,1,電気暖房温水ボイラー,電気暖房温水ボイラー,給湯器,
10,1,IHクッキングヒーター,IHクッキングヒーター,住設,
10,1,食洗機,食器洗い乾燥機,住設,
10,1,デジタルカメラ,デジカメ,カメラ,
10,1,デジカメ,デジカメ,カメラ,
10,1,一眼レフカメラ,一眼レフカメラ,カメラ,
10,1,ビデオカメラ,ビデオカメラ,カメラ,
10,1,電子ピアノ（脚なし）,電子ピアノ脚なし,楽器,
10,1,電子ピアノ脚なし,電子ピアノ脚なし,楽器,
10,1,ピアノ（脚なし）,ピアノ脚なし,楽器,
10,1,ピアノ脚なし,ピアノ脚なし,楽器,
10,1,Airdog,Airdog,空気清浄機,
10,1,ミライウェーブ スーパーミニ,パワーウエーブ,FIT系,
10,1,パワーウエーブ ミニ,パワーウエーブ,FIT系,
10,1,パワーウエーブ ダブルスリム,パワーウエーブ,FIT系,
10,1,3in1 パワートレーナー,パワーウエーブ,FIT系,
10,1,パワーウエーブヒーロー,パワーウエーブ,FIT系,
10,1,セブン パワーウェーブ,パワーウエーブ,FIT系,
10,1,パワーウエーブ,パワーウエーブ,FIT系,
10,1,AVアンプ,AV製品,AV製品,
10,1,CDプレーヤー,AV製品,AV製品,
10,1,ホームシアター,AV製品,AV製品,
10,1,ヘッドホン・イヤホン・ヘッドセット,ヘッドホン,AV製品,
10,1,ヘッドホン・イヤホン,ヘッドホン,AV製品,
10,1,ヘッドホン,ヘッドホン,AV製品,
10,1,イヤホン,ヘッドホン,AV製品,
10,1,ヘッドセット,ヘッドホン,AV製品,
10,1,腕時計（クォーツ）,腕時計,時計,
10,1,腕時計,腕時計,時計,
10,1,クォーツ,腕時計,時計,
10,1,時計,腕時計,時計,
